,ypred_lstm,ytest
2023-07-20 20:00:00+01:00,0.7822062969207764,0.6306174833366126
2023-07-21 00:00:00+01:00,0.7618932723999023,0.57767457536263
2023-07-21 04:00:00+01:00,0.7702466249465942,0.5459835920743
2023-07-21 08:00:00+01:00,0.8767455220222473,0.593307897863205
2023-07-21 12:00:00+01:00,1.1259218454360962,1.424322773732125
2023-07-21 16:00:00+01:00,1.1489453315734863,1.0990146922057824
2023-07-21 20:00:00+01:00,1.0872145891189575,0.9427462576703175
2023-07-22 00:00:00+01:00,1.0757720470428467,1.22506105986468
2023-07-22 04:00:00+01:00,1.0260883569717407,1.60966139920995
2023-07-22 08:00:00+01:00,1.2031207084655762,1.170674745798775
2023-07-22 12:00:00+01:00,1.4110205173492432,1.020690194192905
