,ypred_svr,ytest_svr
2023-07-24 16:00:00+01:00,1.563849148099844,1.9458531021752248
2023-07-24 20:00:00+01:00,1.6345621550985923,1.664980467049475
2023-07-25 00:00:00+01:00,3.4158544059457316,2.4853696254272752
2023-07-25 04:00:00+01:00,3.3729613100006963,4.1954238621447
2023-07-25 08:00:00+01:00,3.685832285085344,4.1999998092651
2023-07-25 12:00:00+01:00,3.595397815139592,4.1999998092651
2023-07-25 16:00:00+01:00,3.564024717855751,4.1999998092651
2023-07-25 20:00:00+01:00,3.4033381999220476,4.1999998092651
2023-07-26 00:00:00+01:00,3.9605148875180203,4.1999998092651
2023-07-26 04:00:00+01:00,4.477257926813896,4.1999998092651
2023-07-26 08:00:00+01:00,4.070186334554002,4.1999998092651
