,base_lag0,base_1d_lag0,temp_1h_lag0,temp_1h_lag1,glob_1h_lag1,glob_1h_lag2,glob_1h_lag3,rain_1h_lag0,rain_1h_lag1,bf15_1h_lag0,schmelz_1h_lag0,schmelz_1h_lag1,rain_1h_prog_lag-6,glob_1h_prog_lag-6,temp_1h_prog_lag-6,yearday_sin,yearday_cos
2022-09-24 20:00:00+01:00,1.565384133338475,1.41643286770454,9.23125000000001,10.07083333333333,14.732291666666693,117.17708333333334,83.83229166666665,0.21208333333333348,0.06333333333333342,1.0342708333333324,0.0,0.0,0.161,0.0,8.595,-0.9948176975821393,-0.10167471946049932
2022-09-25 00:00:00+01:00,1.53066515989275,1.48005033056715,8.041666666666675,9.23125000000001,0.0,14.732291666666693,117.17708333333334,0.0,0.21208333333333348,1.0287083333333324,0.0,0.0,0.08449999999999999,0.0,7.9025,-0.9951053111006974,-0.09882013873287211
2022-09-25 04:00:00+01:00,1.446429302540825,1.48005033056715,7.95208333333334,8.041666666666675,0.0,0.0,14.732291666666693,0.000833333333333335,0.0,1.0247500000000025,0.0,0.0,0.0,35.3125,7.16,-0.9953847335564997,-0.09596474458183156
2022-09-25 08:00:00+01:00,1.412228000169075,1.48005033056715,9.36875000000001,7.95208333333334,30.325000000000017,0.0,0.0,0.08166666666666675,0.000833333333333335,1.0150416666666675,0.0,0.0,0.007,256.2625,10.19,-0.9956559626495209,-0.09310856051113568
2022-09-25 12:00:00+01:00,1.41311032479545,1.48005033056715,9.591666666666677,9.36875000000001,180.753125,30.325000000000017,0.0,0.8062499999999997,0.08166666666666675,1.0307083333333324,0.0,0.0,0.0055,317.8625,11.07,-0.995918996147179,-0.09025161003104107
2022-09-25 16:00:00+01:00,1.525378723308725,1.48005033056715,8.335416666666674,9.591666666666677,133.01458333333352,180.753125,30.325000000000017,0.19166666666666676,0.8062499999999997,1.084229166666665,0.0,0.0,0.028999999999999998,27.6125,9.555,-0.9961738318843526,-0.08739391665811555
2022-09-25 20:00:00+01:00,1.5780842706334,1.48005033056715,7.53125000000001,8.335416666666674,10.890625000000002,133.01458333333352,180.753125,0.6933333333333338,0.19166666666666676,1.1075,0.0,0.0,0.0305,0.0,8.350000000000001,-0.9964204677633984,-0.08453550391504289
2022-09-26 00:00:00+01:00,1.8198785387681875,2.90491526943002,7.05833333333334,7.53125000000001,0.0,10.890625000000002,133.01458333333352,0.3820833333333335,0.6933333333333338,1.106895833333335,0.0,0.0,0.713,0.0,7.5825,-0.99665890175417,-0.08167639533042288
2022-09-26 04:00:00+01:00,2.4353207935970502,2.90491526943002,7.256250000000008,7.05833333333334,0.0,0.0,10.890625000000002,0.26750000000000035,0.3820833333333335,1.112666666666665,0.0,0.0,1.399,25.4625,5.79,-0.996889131894033,-0.07881661443858837
2022-09-26 08:00:00+01:00,3.0154349905362,2.90491526943002,7.5854166666666725,7.256250000000008,32.56770833333336,0.0,0.0,0.4354166666666675,0.26750000000000035,1.0191249999999998,0.0,0.0,0.5525,183.65,6.2575,-0.9971111562878819,-0.0759561847794053
2022-09-26 12:00:00+01:00,4.1999998092651,2.90491526943002,9.49375,7.5854166666666725,333.076041666667,32.56770833333336,0.0,0.011666666666666674,0.4354166666666675,0.996145833333334,0.0,0.0,0.1965,264.91875,8.26,-0.9973249731081556,-0.07309512989807723
2022-09-26 16:00:00+01:00,3.545853056245875,2.90491526943002,8.266666666666676,9.49375,358.66666666666725,333.076041666667,32.56770833333336,0.030416666666666696,0.011666666666666674,0.9934583333333346,0.0,0.0,0.665,26.39375,7.1,-0.9975305805948523,-0.07023347334495765
2022-09-26 20:00:00+01:00,2.59850481104255,2.90491526943002,7.693750000000008,8.266666666666676,21.839583333333334,358.66666666666725,333.076041666667,0.0,0.030416666666666696,0.992562500000001,0.0,0.0,1.283,0.0,5.4825,-0.9977279770555445,-0.06737123867534996
2022-09-27 00:00:00+01:00,2.22209181694085,3.43616828625369,6.60833333333334,7.693750000000008,0.0,21.839583333333334,358.66666666666725,0.4733333333333327,0.0,1.0006666666666661,0.0,0.0,0.508,0.0,6.755,-0.9979171608653922,-0.06450844944931713
2022-09-27 04:00:00+01:00,2.30550420355515,3.43616828625369,5.3958333333333375,6.60833333333334,0.0,0.0,21.839583333333334,1.426250000000002,0.4733333333333327,1.0663333333333325,0.0,0.0,0.6695,9.175,7.4,-0.9980981304671568,-0.06164512923148516
2022-09-27 08:00:00+01:00,3.945355008493525,3.43616828625369,5.602083333333337,5.3958333333333375,15.207291666666666,0.0,0.0,0.9754166666666687,1.426250000000002,1.0280625,0.0,0.0,1.55,48.55625,7.7725,-0.9982708843712136,-0.058781301590856073
2022-09-27 12:00:00+01:00,4.1999998092651,3.43616828625369,7.595833333333342,5.602083333333337,229.06666666666683,15.207291666666666,0.0,0.5087500000000003,0.9754166666666687,1.0198124999999976,0.0,0.0,2.0004999999999997,51.231249999999996,7.625,-0.9984354211555643,-0.055916990100603386
2022-09-27 16:00:00+01:00,4.1999998092651,3.43616828625369,5.08333333333334,7.595833333333342,247.6312500000005,229.06666666666683,15.207291666666666,1.679583333333336,0.5087500000000003,1.0738541666666674,0.0,0.0,1.2365,4.0375,6.8075,-0.9985917394658487,-0.05305221833788424
2022-09-27 20:00:00+01:00,4.1999998092651,3.43616828625369,4.53541666666667,5.08333333333334,14.873958333333361,247.6312500000005,229.06666666666683,0.9487500000000018,1.679583333333336,1.1275625,0.0,0.0,0.924,0.0,6.225,-0.9987398380153555,-0.050187009883647986
2022-09-28 00:00:00+01:00,4.1999998092651,4.1999998092651,5.30208333333334,4.53541666666667,0.0,14.873958333333361,247.6312500000005,0.08916666666666667,0.9487500000000018,1.1360625,0.0,0.0,0.7815,0.0,5.8175,-0.9988797155850335,-0.04732138832243232
2022-09-28 04:00:00+01:00,4.1999998092651,4.1999998092651,5.670833333333343,5.30208333333334,0.0,0.0,14.873958333333361,1.6437500000000027,0.08916666666666667,1.1427708333333324,0.0,0.0,0.018,28.56875,5.0649999999999995,-0.9990113710235011,-0.0444553772421807
2022-09-28 08:00:00+01:00,4.1999998092651,4.1999998092651,6.785416666666673,5.670833333333343,7.397916666666678,0.0,0.0,3.1916666666666673,1.6437500000000027,1.081104166666665,0.0,0.0,0.0,170.98125,7.092499999999999,-0.9991348032470557,-0.04158900023404196
2022-09-28 12:00:00+01:00,4.1999998092651,4.1999998092651,6.904166666666672,6.785416666666673,84.8041666666668,7.397916666666678,0.0,1.1087500000000015,3.1916666666666673,1.1682083333333324,0.0,0.0,0.0,131.925,9.1875,-0.9992500112396835,-0.03872228089217436
2022-09-28 16:00:00+01:00,4.1999998092651,4.1999998092651,5.104166666666672,6.904166666666672,129.53750000000002,84.8041666666668,7.397916666666678,1.59541666666667,1.1087500000000015,1.205166666666665,0.0,0.0,0.7515000000000001,9.275,7.24,-0.9993569940530665,-0.035855242813557564
2022-09-28 20:00:00+01:00,4.1999998092651,4.1999998092651,4.437500000000002,5.104166666666672,9.289583333333352,129.53750000000002,84.8041666666668,0.480416666666667,1.59541666666667,1.1941666666666675,0.0,0.0,0.1635,0.0,6.5975,-0.9994557508065917,-0.03298790959779222
2022-09-29 00:00:00+01:00,4.1999998092651,4.1999998092651,4.3937500000000025,4.437500000000002,0.0,9.289583333333352,129.53750000000002,0.1837500000000004,0.480416666666667,1.165291666666665,0.0,0.0,0.0165,0.0,6.32,-0.9995462806873573,-0.03012030484690836
2022-09-29 04:00:00+01:00,4.1999998092651,4.1999998092651,4.502083333333338,4.3937500000000025,0.0,0.0,9.289583333333352,0.6741666666666678,0.1837500000000004,1.1528750000000025,0.0,0.0,0.04,18.41875,6.1899999999999995,-0.9996285829501801,-0.02725245216517288
2022-09-29 08:00:00+01:00,4.1999998092651,4.1999998092651,5.09166666666667,4.502083333333338,16.343750000000025,0.0,0.0,1.041250000000002,0.6741666666666678,1.0471458333333326,0.0,0.0,0.0125,124.59375,6.915,-0.9997026569176009,-0.02438437515889348
2022-09-29 12:00:00+01:00,4.1999998092651,4.1999998092651,6.293750000000007,5.09166666666667,93.33749999999988,16.343750000000025,0.0,0.007500000000000003,1.041250000000002,1.0395625000000026,0.0,0.0,0.0105,153.975,7.45,-0.9997685019798909,-0.0215160974362226
2022-09-29 16:00:00+01:00,4.1999998092651,4.1999998092651,6.21458333333334,6.293750000000007,143.6635416666667,93.33749999999988,16.343750000000025,0.5499999999999995,0.007500000000000003,1.0362708333333326,0.0,0.0,0.0,16.3875,7.015,-0.9998261175950561,-0.018647642606964825
2022-09-29 20:00:00+01:00,4.1999998092651,4.1999998092651,5.575000000000007,6.21458333333334,8.592708333333334,143.6635416666667,93.33749999999988,0.07500000000000018,0.5499999999999995,1.0519166666666675,0.0,0.0,0.0,0.0,4.945,-0.9998755032888421,-0.015779034282386122
2022-09-30 00:00:00+01:00,4.1999998092651,4.1999998092651,5.343750000000005,5.575000000000007,0.0,8.592708333333334,143.6635416666667,0.0,0.07500000000000018,1.0429375,0.0,0.0,0.0,0.0,3.41,-0.9999166586547379,-0.012910296075008843
2022-09-30 04:00:00+01:00,4.1999998092651,4.1999998092651,5.518750000000008,5.343750000000005,0.0,0.0,8.592708333333334,0.0012500000000000024,0.0,1.0369166666666652,0.0,0.0,0.0,37.19375,5.6775,-0.9999495833539791,-0.010041451598433315
2022-09-30 08:00:00+01:00,4.1999998092651,4.1999998092651,6.183333333333337,5.518750000000008,18.857291666666683,0.0,0.0,0.13250000000000003,0.0012500000000000024,1.0038541666666683,0.0,0.0,0.0,120.5,9.54,-0.9999742771155509,-0.0071725244671283946
2022-09-30 12:00:00+01:00,4.1999998092651,4.1999998092651,6.8666666666666725,6.183333333333337,97.18020833333355,18.857291666666683,0.0,0.23125000000000012,0.13250000000000003,1.0014999999999974,0.0,0.0,0.7865,57.0375,10.8725,-0.9999907397361901,-0.004303538296244189
2022-09-30 16:00:00+01:00,4.1999998092651,4.1999998092651,7.24166666666667,6.8666666666666725,105.84687500000021,97.18020833333355,18.857291666666683,0.0,0.23125000000000012,0.9991458333333345,0.0,0.0,0.4285,3.09375,10.4175,-0.9999989710803874,-0.0014345167014185518
2022-09-30 20:00:00+01:00,4.1999998092651,4.1999998092651,6.57708333333334,7.24166666666667,12.073958333333346,105.84687500000021,97.18020833333355,0.0,0.0,0.998625000000001,0.0,0.0,1.106,0.0,10.8375,-0.9999989710803874,0.0014345167014181844
2022-10-01 00:00:00+01:00,4.1999998092651,4.1999998092651,5.833333333333339,6.57708333333334,0.0,12.073958333333346,105.84687500000021,0.000833333333333335,0.0,1.0003541666666655,0.0,0.0,0.6005,0.0,10.545,-0.9999907397361901,0.004303538296243821
2022-10-01 04:00:00+01:00,4.1999998092651,4.1999998092651,6.147916666666675,5.833333333333339,0.0,0.0,12.073958333333346,0.0,0.000833333333333335,1.003416666666665,0.0,0.0,0.35550000000000004,15.718750000000002,11.2525,-0.9999742771155509,0.007172524467128028
2022-10-01 08:00:00+01:00,4.1999998092651,4.1999998092651,7.63333333333334,6.147916666666675,23.912500000000016,0.0,0.0,0.16875,0.0,0.9999374999999995,0.0,0.0,0.34800000000000003,114.8125,13.05,-0.9999495833539791,0.010041451598432947
2022-10-01 12:00:00+01:00,4.1999998092651,4.1999998092651,8.404166666666677,7.63333333333334,94.35833333333349,23.912500000000016,0.0,1.3354166666666685,0.16875,1.0180624999999979,0.0,0.0,0.8475,137.99375,13.42,-0.9999166586547379,0.012910296075008475
2022-10-01 16:00:00+01:00,4.1999998092651,4.1999998092651,9.083333333333345,8.404166666666677,75.57187500000008,94.35833333333349,23.912500000000016,2.4866666666666726,1.3354166666666685,1.086729166666665,0.0,0.0,0.0795,13.200000000000001,12.71,-0.9998755032888421,0.015779034282385754
2022-10-01 20:00:00+01:00,4.1999998092651,4.1999998092651,9.54375000000001,9.083333333333345,4.653125,75.57187500000008,94.35833333333349,1.4087499999999977,2.4866666666666726,1.1303541666666674,0.0,0.0,0.0,0.0,11.41,-0.9998261175950561,0.018647642606964457
2022-10-02 00:00:00+01:00,4.1999998092651,4.1999998092651,9.89375,9.54375000000001,0.0,4.653125,75.57187500000008,1.1024999999999994,1.4087499999999977,1.1975625,0.0,0.0,0.908,0.0,10.91,-0.9997685019798909,0.021516097436222233
2022-10-02 04:00:00+01:00,4.1999998092651,4.1999998092651,10.83125,9.89375,0.0,0.0,4.653125,0.06083333333333342,1.1024999999999994,1.2113749999999999,0.0,0.0,0.9700000000000001,45.98125,10.34,-0.9997026569176009,0.024384375158893117
2022-10-02 08:00:00+01:00,4.1999998092651,4.1999998092651,12.347916666666675,10.83125,34.93020833333336,0.0,0.0,0.3791666666666676,0.06083333333333342,1.03697916666667,0.0,0.0,0.2775,309.82500000000005,9.969999999999999,-0.9996285829501801,0.02725245216517251
2022-10-02 12:00:00+01:00,4.1999998092651,4.1999998092651,13.177083333333325,12.347916666666675,205.90937500000024,34.93020833333336,0.0,0.80125,0.3791666666666676,1.0859791666666676,0.0,0.0,0.0075,306.15000000000003,10.97,-0.9995462806873573,0.030120304846907992
